Dates,Open,Close,High,Low,Volume
9/18/2020 9:30,1488.3,1494.61,1495.2,1487.17,338233
9/18/2020 9:31,1493.11,1489.03,1493.11,1489.03,1251
9/18/2020 9:32,1490.23,1490.26,1490.52,1488.95,600
9/18/2020 9:33,1491.75,1490.02,1492.27,1490.02,1023
9/18/2020 9:34,1490.8,1487.99,1490.87,1487.32,2290
9/18/2020 9:35,1489.12,1487.13,1490.55,1486.39,1907
9/18/2020 9:36,1486,1487.38,1487.81,1484.46,3089
9/18/2020 9:37,1486.56,1485.94,1486.97,1484.12,1800
9/18/2020 9:38,1485.68,1487.93,1487.93,1485.64,2200
9/18/2020 9:39,1487.73,1487.34,1487.73,1486.18,4175
9/18/2020 9:40,1485.95,1486.27,1487.3,1484.84,2400
9/18/2020 9:41,1488.59,1488.88,1489.48,1488.59,807
9/18/2020 9:42,1488.23,1487.98,1488.94,1487.98,900
9/18/2020 9:43,1487.9,1489,1489,1487.9,300
9/18/2020 9:44,1489.49,1489.59,1490.3,1488.93,900
9/18/2020 9:45,1490.58,1488,1490.58,1488,800
9/18/2020 9:46,1487.5,1484.2,1487.5,1483.48,1000
9/18/2020 9:47,1484.98,1483.46,1484.98,1482.98,800
9/18/2020 9:48,1481.72,1480.13,1482.43,1480.05,1690
9/18/2020 9:49,1481.44,1481.66,1482.5,1480.84,2231
9/18/2020 9:50,1481.33,1480.41,1482.06,1479.38,4623
9/18/2020 9:51,1480.39,1483.47,1484,1480.38,2605
9/18/2020 9:52,1484.79,1485.68,1485.68,1484.09,1203
9/18/2020 9:53,1485.57,1486.15,1486.15,1485.57,791
9/18/2020 9:54,1487.32,1486.89,1487.72,1486.87,800
9/18/2020 9:55,1486.53,1489.23,1489.53,1483.24,4559
9/18/2020 9:56,1487.94,1487.91,1488.26,1486.96,607
9/18/2020 9:57,1488.16,1487.65,1488.16,1487.64,700
9/18/2020 9:58,1486.11,1485.59,1486.11,1485.1,1450
9/18/2020 9:59,1485.34,1487.49,1487.49,1485.34,300
9/18/2020 10:00,1487.51,1491.37,1491.37,1487.51,2849
9/18/2020 10:01,1491.71,1492.91,1494.8,1491.58,2854
9/18/2020 10:02,1492.73,1493.79,1494.1,1492.73,1198
9/18/2020 10:03,1492.67,1493.98,1494.27,1492.32,1008
9/18/2020 10:04,1493.04,1492.52,1493.42,1491.5,1206
9/18/2020 10:05,1492.72,1491.96,1492.81,1491.96,1117
9/18/2020 10:06,1492.28,1491.84,1492.28,1489.47,2197
9/18/2020 10:07,1492.3,1492.5,1492.83,1492.3,400
9/18/2020 10:08,1493.6,1493.69,1493.81,1491.78,1739
9/18/2020 10:09,1493.21,1492.92,1493.21,1492.57,500
9/18/2020 10:10,1492.05,1489.39,1492.05,1489.39,400
9/18/2020 10:11,1490.9,1490.51,1491.62,1490.46,1000
9/18/2020 10:12,1488.8,1489.59,1489.59,1488.8,200
9/18/2020 10:13,1489.16,1489.96,1490.26,1489.1,900
9/18/2020 10:14,1489.76,1491.46,1491.46,1489.76,1167
9/18/2020 10:15,1489.86,1489.86,1489.86,1489.86,101
9/18/2020 10:16,1490.96,1493.27,1493.27,1490.53,2253
9/18/2020 10:17,1492.08,1491.5,1492.08,1491.5,400
9/18/2020 10:18,1492.99,1491.53,1492.99,1491.53,300
9/18/2020 10:19,1491.08,1488.67,1491.08,1488.39,905
9/18/2020 10:20,1487.97,1487.68,1488.34,1487,1002
9/18/2020 10:21,1487.14,1487.28,1487.28,1487.14,200
9/18/2020 10:22,1487.5,1485.88,1487.5,1484.8,2968
9/18/2020 10:23,1485.32,1485.59,1486.05,1484.18,8260
9/18/2020 10:24,1485.01,1486.28,1486.53,1485.01,1250
9/18/2020 10:25,1485.4,1484.09,1485.4,1482.95,3025
9/18/2020 10:26,1483.01,1483.25,1483.85,1482.95,2520
9/18/2020 10:27,1483.8,1483.26,1484.8,1483.05,2320
9/18/2020 10:28,1483.26,1481.29,1484.15,1481.29,3952
9/18/2020 10:29,1481.93,1481.85,1482.99,1481.48,2030
9/18/2020 10:30,1480.47,1480.05,1480.66,1479.59,3268
9/18/2020 10:31,1479.81,1480.99,1480.99,1478.05,1405
